name,type,category,fdc_id,serving_size_g,serving_label,cost_index,calories_kcal,protein_g,fat_g,carbs_g,fiber_g,sugars_g,water_g,vitamin_a_mcg,vitamin_b1_mg,vitamin_b2_mg,vitamin_b3_mg,vitamin_b5_mg,vitamin_b6_mg,vitamin_b9_mcg,vitamin_b12_mcg,vitamin_c_mg,vitamin_d_mcg,vitamin_e_mg,vitamin_k_mcg,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,manganese_mg,selenium_mcg
Bell Pepper,vegetable,Nightshade,,100.0,100g,,27,1.6,0.6,4.7,2.0,2.5,92.8,217,0.02,0.01,0.6,,0.31,28.0,0.0,90.0,0.0,0.8,,9.0,0.6,10.0,24,120.0,4.0,0.2,,,
Octopus,fish_seafood,Mollusk,,100.0,100g,,73,15.6,1.2,0.0,0.0,0.0,83.1,3,0.02,0.04,1.3,,0.07,12.0,1.3,0.0,0.0,0.73,,13.0,0.7,43.0,170,240.0,260.0,1.3,,,
Pigeon,poultry,Other Poultry,,100.0,100g,,232,20.3,16.7,0.0,0.0,0.0,66.1,73,0.16,0.23,4.4,,0.41,6.0,0.4,0.0,0.5,0.1,,11.0,3.0,21.0,210,160.0,53.0,1.5,,,
Pork Heart,pork,Other Cut,,100.0,100g,,113,18.4,4.4,0.0,0.0,0.0,76.3,8,0.52,0.97,5.0,,0.31,2.0,2.0,3.0,0.7,0.37,,10.0,2.7,22.0,280,320.0,110.0,2.2,,,
Pork Chop (Fatty),pork,Loin,,100.0,100g,,355,17.3,31.8,0.0,0.0,0.0,50.5,0,0.63,0.17,5.5,,0.35,3.0,1.0,0.0,1.0,0.03,,19.0,1.3,18.0,190,310.0,61.0,1.7,,,
Pork Chop (Semi-lean),pork,Loin,,100.0,100g,,221,19.8,15.8,0.0,0.0,0.0,62.6,0,0.74,0.2,6.5,,0.4,6.0,1.0,0.0,0.7,0.11,,14.0,1.4,18.0,190,380.0,100.0,2.1,,,
Pork Spare Ribs,pork,Rib,,100.0,100g,,190,19.6,12.4,0.0,0.0,0.0,66.9,0,0.73,0.25,7.2,,0.44,1.0,1.0,0.0,0.7,0.09,,11.0,0.8,21.0,190,350.0,72.0,2.2,,,
Pork Tongue,pork,Other Cut,,100.0,100g,,220,16.3,17.2,0.0,0.0,0.0,65.9,0,0.49,0.49,5.3,,0.24,4.0,2.84,4.4,0.3,0.28,,16.0,3.4,18.0,190,240.0,110.0,3.0,,,10.0
Pork Ear,pork,Other Cut,,100.0,100g,,128,26.0,2.5,0.3,0.0,0.3,70.3,0,0.04,0.03,4.0,,0.28,3.0,1.0,0.0,0.0,0.11,,130.0,1.3,12.0,160,310.0,120.0,1.7,,,
Pig's Foot,pork,Other Cut,,100.0,100g,,335,38.0,20.4,0.0,0.0,0.0,39.1,15,0.05,0.11,1.78,,0.26,4.5,0.63,0.0,0.0,0.65,,97.0,1.3,12.0,90,450.0,640.0,2.2,,,
Pork Leg (Fatty),pork,Other Cut,,100.0,100g,,239,18.1,18.5,0.0,0.0,0.0,62.0,0,0.76,0.24,7.5,,0.42,1.0,1.0,0.0,0.8,0.09,,11.0,1.0,17.0,200,290.0,57.0,1.7,,,
Pork Leg (Lean),pork,Other Cut,,100.0,100g,,152,21.0,7.5,0.0,0.0,0.0,69.8,0,0.7,0.26,7.2,,0.46,1.0,1.0,0.0,0.5,0.8,,12.0,0.7,25.0,170,420.0,86.0,2.7,,,
Pork Kidney,pork,Other Cut,,100.0,100g,,95,17.0,3.0,0.0,0.0,0.0,78.4,110,0.53,2.8,8.0,,0.43,43.0,44.0,10.0,0.0,0.44,,13.0,5.0,21.0,300,250.0,260.0,2.4,,,
Flying Squid,fish_seafood,Mollusk,,100.0,100g,,75,16.3,1.1,0.0,0.0,0.0,81.2,12,0.08,0.03,1.7,,0.1,5.1,2.3,0.5,2.5,1.65,,12.0,0.2,44.0,260,240.0,210.0,1.3,,,28.0
Brie,dairy,Cheese,,100.0,100g,,321,18.8,27.3,0.0,0.0,0.0,50.6,329,0.05,0.38,0.46,,0.19,66.4,0.68,0.0,0.3,0.64,,340.0,0.4,18.0,260,120.0,580.0,2.2,,,5.7
Camembert,dairy,Cheese,,100.0,100g,,254,19.2,19.6,0.2,0.0,0.2,56.3,216,0.03,0.47,1.2,,0.2,50.0,0.97,0.0,0.2,0.54,,300.0,1.0,19.0,230,89.0,580.0,2.4,,,
Azeitao Cheese,dairy,Cheese,,100.0,100g,,339,19.5,27.5,2.6,0.0,2.6,48.3,210,0.04,0.66,0.6,,0.08,31.0,0.37,0.0,0.2,0.4,,540.0,0.7,50.0,420,76.0,600.0,2.6,,,
Goat Cheese,dairy,Cheese,,100.0,100g,,286,13.0,25.0,2.0,0.0,2.0,51.6,320,0.02,0.89,1.43,,0.25,84.2,0.15,0.0,0.5,0.53,,120.0,0.3,16.0,210,230.0,400.0,0.6,,,
Evora Cheese,dairy,Cheese,,100.0,100g,,405,23.8,32.9,2.1,0.0,2.1,27.0,180,0.06,0.58,0.5,,0.12,39.0,0.51,0.0,0.4,0.6,,750.0,0.7,70.0,450,110.0,500.0,3.7,,,
Nisa Cheese,dairy,Cheese,,100.0,100g,,451,23.4,38.0,2.6,0.0,2.6,27.0,180,0.06,0.58,0.5,,0.12,39.0,0.51,0.0,0.4,0.6,,750.0,0.7,70.0,450,110.0,600.0,3.7,,,
Emmental,dairy,Cheese,,100.0,100g,,384,28.9,29.7,0.0,0.0,0.0,36.0,250,0.04,0.37,0.1,,0.07,11.0,2.1,1.0,0.6,0.43,,1080.0,0.4,38.0,670,100.0,390.0,4.7,,,
Flemish Cheese,dairy,Cheese,,100.0,100g,,349,22.7,28.3,0.8,0.0,0.3,45.3,423,0.05,0.4,0.4,,0.08,37.0,1.9,0.0,0.2,1.47,,830.0,0.9,48.0,510,110.0,500.0,5.3,,,
Fresh Goat Cheese,dairy,Cheese,,100.0,100g,,182,12.0,13.8,2.1,0.0,2.1,69.6,134,0.0,1.63,0.0,,0.0,22.0,0.29,0.0,0.5,0.48,,430.0,0.0,26.0,300,160.0,390.0,1.4,,,13.0
Fresh Sheep Cheese,dairy,Cheese,,100.0,100g,,204,11.3,15.6,3.9,0.0,3.6,66.5,234,0.05,0.45,0.45,,0.1,27.0,1.45,0.0,0.3,0.48,,580.0,0.7,39.0,420,120.0,300.0,2.4,,,
Fresh Cheese (Low-fat),dairy,Cheese,,100.0,100g,,96,13.0,1.8,6.9,0.0,6.9,75.6,0,0.02,0.37,0.0,,,26.3,0.53,0.0,0.0,0.48,,480.0,0.0,25.0,350,270.0,330.0,1.6,,,9.1
Gouda,dairy,Cheese,,100.0,100g,,380,25.3,30.6,0.0,0.0,0.0,40.4,281,0.03,0.3,0.06,,0.08,43.0,1.7,0.0,0.2,0.57,,770.0,0.3,32.0,500,82.0,930.0,3.9,,,
Gruyere,dairy,Cheese,,100.0,100g,,415,27.2,33.3,1.4,0.0,1.4,35.0,363,0.03,0.39,0.04,,0.11,12.0,1.6,0.0,0.3,0.58,,950.0,0.3,37.0,610,99.0,670.0,2.3,,,
Mascarpone,dairy,Cheese,,100.0,100g,,458,7.6,47.0,0.3,0.0,0.3,44.4,353,0.01,0.22,0.1,,0.04,11.0,0.3,0.0,0.3,1.0,,68.0,0.2,10.0,97,53.0,86.0,0.4,,,
Mozzarella (Fresh),dairy,Cheese,,100.0,100g,,256,18.7,19.5,1.3,0.0,0.7,58.8,323,0.03,0.27,0.4,,0.07,16.0,1.7,0.0,0.1,0.39,,340.0,0.1,10.0,350,8.0,140.0,2.6,,,
Raclette,dairy,Cheese,,100.0,100g,,354,25.5,27.8,0.4,0.0,0.0,42.7,248,0.01,0.22,0.2,,0.06,50.0,1.4,0.0,0.2,0.6,,650.0,0.1,26.0,480,73.0,680.0,3.4,,,8.0
Roquefort,dairy,Cheese,,100.0,100g,,372,22.0,31.5,0.2,0.0,0.2,41.4,210,0.05,0.5,0.8,,0.24,38.0,1.3,0.0,0.3,0.53,,770.0,1.1,24.0,450,270.0,1560.0,2.8,,,
Sao Jorge Cheese,dairy,Cheese,,100.0,100g,,409,26.6,32.5,2.5,0.0,2.5,37.0,243,0.32,0.55,0.6,,0.1,45.0,2.4,0.0,0.2,0.49,,870.0,0.9,44.0,530,110.0,700.0,2.5,,,
Serpa Cheese,dairy,Cheese,,100.0,100g,,375,22.0,30.5,2.4,0.0,2.4,43.0,195,0.05,0.7,0.8,,0.09,37.0,1.1,0.0,0.2,0.43,,710.0,1.3,56.0,600,85.0,800.0,3.0,,,
Serra da Estrela Cheese,dairy,Cheese,,100.0,100g,,324,23.8,24.0,2.0,0.0,2.0,45.5,240,0.05,0.6,0.7,,0.09,31.0,1.4,0.0,0.2,0.45,,700.0,0.7,53.0,480,80.0,600.0,2.8,,,
Kiwi,fruit,Tropical,,100.0,100g,,54,0.9,0.5,11.7,2.2,8.3,86.3,8,0.0,0.01,0.3,,0.02,42.0,0.0,72.0,0.0,0.6,,19.0,0.4,18.0,28,300.0,9.0,0.1,,,0.5
Horseradish,vegetable,Root,,100.0,100g,,88,6.0,0.7,18.2,7.5,7.0,73.6,0,0.1,0.07,0.55,,0.17,14.0,0.0,136.0,0.0,0.0,,110.0,1.7,31.0,75,580.0,7.0,1.4,,,0.2
Skate,fish_seafood,Fish,,100.0,100g,,58,14.1,0.2,0.0,0.0,0.0,77.6,2,0.03,0.03,1.7,,0.19,12.0,0.47,0.0,0.4,0.24,,160.0,0.3,28.0,320,260.0,220.0,0.8,,,
Alfalfa Sprouts,vegetable,Other,,100.0,100g,,29,4.0,0.7,3.3,3.0,0.3,92.2,16,0.06,0.1,0.5,,0.03,36.0,0.0,5.0,0.0,0.2,,32.0,1.0,27.0,70,79.0,6.0,0.9,,,1.0
Bamboo Shoot,vegetable,Other,,100.0,100g,,14,0.9,0.2,3.0,1.8,0.5,96.1,1,0.09,0.1,0.17,,0.48,87.0,0.0,8.8,0.0,0.67,,10.0,0.1,1.6,,31.0,3.0,0.1,,,
Bean Sprouts (Mung),vegetable,Other,,100.0,100g,,21,2.0,0.2,3.5,1.4,1.9,94.0,1,0.25,0.14,0.17,,0.17,166.0,0.0,17.7,0.0,0.06,,16.0,0.7,8.7,24,60.0,22.0,0.1,,,2.0
Soybean Sprouts,vegetable,Other,,100.0,100g,,98,9.2,3.9,7.5,1.7,3.3,77.3,1,0.25,0.14,1.33,,0.17,166.0,0.0,17.7,0.0,0.06,,50.0,1.5,46.0,120,360.0,22.0,1.1,,,2.0
Ricotta (Goat),dairy,Cheese,,100.0,100g,,197,10.7,15.5,3.4,0.0,2.5,69.6,134,0.0,1.63,0.0,,0.0,22.0,0.29,0.0,0.5,0.48,,430.0,0.0,26.0,300,160.0,0.3,1.4,,,
Ricotta (Sheep),dairy,Cheese,,100.0,100g,,246,11.0,20.6,3.8,0.0,2.6,69.6,134,0.0,1.63,0.0,,0.0,22.0,0.29,0.0,0.5,0.48,,430.0,0.0,26.0,300,160.0,400.0,1.4,,,
Ricotta (Cow),dairy,Cheese,,100.0,100g,,149,8.0,10.4,5.8,0.0,2.8,73.1,146,0.02,0.19,1.3,,0.01,11.0,0.6,0.0,0.1,1.1,,300.0,0.1,19.0,190,150.0,200.0,0.8,,,
Sea Bass,fish_seafood,Fish,,100.0,100g,,106,18.5,3.5,0.0,0.0,0.0,71.8,36,0.26,0.08,2.7,,0.49,9.5,1.3,0.0,5.0,0.17,,52.0,0.4,38.0,230,350.0,95.0,1.2,,,
Conger Eel,fish_seafood,Fish,,100.0,100g,,109,17.7,4.2,0.0,0.0,0.0,76.4,267,0.04,0.05,1.5,,0.55,13.0,0.3,0.0,91.0,1.5,,130.0,0.2,28.0,220,340.0,84.0,1.1,,,
Samphire,vegetable,Other,,100.0,100g,,14,0.7,0.2,3.6,2.5,1.1,92.2,0,0.09,0.07,0.6,,0.23,200.0,0.0,0.9,0.0,0.15,,270.0,20.0,75.0,230,1060.0,1270.0,3.4,,,
Salmon,fish_seafood,Fish,,100.0,100g,,262,16.2,21.9,0.0,0.0,0.0,60.5,33,0.18,0.04,3.6,,0.45,10.0,1.9,0.0,11.0,4.0,,12.0,0.5,23.0,210,300.0,38.0,0.5,,,
Red Mullet,fish_seafood,Fish,,100.0,100g,,136,21.7,5.5,0.1,0.0,0.0,71.6,0,0.03,0.04,2.79,,0.17,14.3,3.74,1.6,1.3,2.1,,23.0,0.4,33.0,180,410.0,96.0,0.4,,,
Parsley (Fresh),spice,Herb,,100.0,100g,,20,3.1,0.0,3.3,2.9,0.4,91.7,558,0.28,0.06,0.6,,0.09,170.0,0.0,220.0,0.0,1.9,,200.0,3.2,34.0,91,750.0,34.0,0.9,,,
Brown Crab,fish_seafood,Crustacean,,100.0,100g,,104,19.5,2.9,0.0,0.0,0.0,75.7,2,0.1,0.17,2.4,,0.21,25.9,9.55,2.5,0.0,2.4,,84.0,1.7,43.0,210,270.0,280.0,7.7,,,82.0
Atlantic Chub Mackerel,fish_seafood,Fish,,100.0,100g,,181,19.0,11.7,0.0,0.0,0.0,67.1,64,0.11,0.19,5.8,,0.43,15.0,8.4,0.0,9.3,1.5,,56.0,0.1,30.0,270,370.0,76.0,2.7,,,
Sardine (Fatty),fish_seafood,Fish,,100.0,100g,,221,18.4,16.4,0.0,0.0,0.0,63.4,47,0.01,0.08,4.4,,0.57,15.0,10.0,0.0,21.0,0.66,,72.0,1.0,31.0,310,370.0,65.0,1.6,,,
Sardine (Semi-fatty),fish_seafood,Fish,,100.0,100g,,158,18.9,9.1,0.0,0.0,0.0,68.9,12,0.01,0.14,6.2,,0.41,24.0,10.0,0.0,17.0,0.25,,70.0,1.7,29.0,300,400.0,65.0,1.7,,,
Melon Seed,nut_seed,Seed,,100.0,100g,,590,28.5,47.7,19.8,10.8,0.4,6.1,0,0.17,0.15,2.1,,0.45,58.0,0.0,0.0,0.0,0.25,,71.0,7.6,510.0,690,650.0,99.0,4.0,,,
Poppy Seed,nut_seed,Seed,,100.0,100g,,565,19.3,45.9,23.7,10.0,3.0,6.4,0,0.85,0.17,0.99,,0.5,0.0,0.0,0.0,0.0,1.61,,1510.0,10.0,330.0,840,700.0,21.0,9.4,,,
Corn Semolina,grain,Other,,100.0,100g,,350,8.8,1.1,78.8,5.0,1.5,11.0,0,0.13,0.04,1.2,,0.15,5.0,0.0,0.0,0.0,0.7,,4.0,1.0,20.0,73,80.0,1.0,0.4,,,
Soybean (Dried),legume,Soy,,100.0,100g,,407,32.8,19.3,32.6,14.3,6.6,10.0,17,1.2,0.49,1.8,,0.6,330.0,0.0,0.0,0.0,2.9,,250.0,8.0,250.0,670,1750.0,4.0,3.8,,,
Plaice,fish_seafood,Fish,,100.0,100g,,90,19.0,1.6,0.0,0.0,0.0,78.2,0,0.12,0.05,0.51,,0.13,8.5,1.5,0.0,10.0,0.35,,54.0,0.4,29.0,170,230.0,110.0,0.6,,,
Date (Fresh),fruit,Other,,100.0,100g,,147,1.2,0.1,37.0,3.8,33.2,60.7,4,0.03,0.04,0.99,,0.09,6.4,0.0,6.9,0.0,0.05,,25.0,0.6,27.0,21,350.0,2.5,0.1,,,
Tamarillo,fruit,Tropical,,100.0,100g,,34,2.0,0.3,6.9,2.3,4.6,86.5,155,0.06,0.03,0.3,,0.19,1.0,0.0,23.0,0.0,1.86,,10.0,0.8,19.0,43,300.0,1.0,0.1,,,
Tamarind,spice,Other,,100.0,100g,,242,2.3,0.3,60.0,5.1,38.8,35.8,2,0.29,0.1,1.4,,0.08,14.0,0.0,3.0,0.0,0.1,,77.0,1.8,92.0,94,600.0,15.0,0.1,,,
Monkfish,fish_seafood,Fish,,100.0,100g,,73,17.9,0.2,0.0,0.0,0.0,80.4,24,0.04,0.02,2.0,,0.05,7.3,0.26,0.0,0.0,0.23,,7.0,0.2,27.0,210,330.0,86.0,0.5,,,
Tangelo,fruit,Citrus,,100.0,100g,,41,0.7,0.1,9.5,1.7,7.8,89.3,60,0.04,0.03,0.2,,0.07,18.0,0.0,42.0,0.0,0.55,,57.0,0.5,8.0,15,210.0,4.0,0.1,,,
Tangerine,fruit,Citrus,,100.0,100g,,44,0.7,0.1,10.4,1.7,8.7,88.2,33,0.08,0.04,0.2,,0.07,21.0,0.0,32.0,0.0,0.24,,30.0,0.3,9.0,16,240.0,5.0,0.1,,,
Cherry Tomato,vegetable,Nightshade,,100.0,100g,,30,1.0,0.8,5.6,1.6,4.0,91.7,105,0.05,0.02,0.7,,0.08,22.0,0.0,19.5,0.0,0.71,,8.5,0.3,12.0,32,310.0,3.5,0.1,,,0.0
Thyme (Fresh),spice,Herb,,100.0,100g,,52,1.5,1.2,10.4,3.0,7.3,85.0,102,0.08,0.07,0.8,,0.15,20.0,0.0,0.0,0.0,0.8,,310.0,20.0,36.0,32,130.0,9.0,1.0,,,
Thyme (Dried),spice,Herb,,100.0,100g,,321,9.1,7.4,63.9,18.6,45.3,7.8,456,0.51,0.4,4.9,,0.38,0.0,0.0,0.0,0.0,9.15,,1890.0,120.0,40.0,200,810.0,55.0,6.2,,,
Rainbow Trout,fish_seafood,Fish,,100.0,100g,,92,17.8,2.3,0.0,0.0,0.0,78.0,9,0.09,0.04,4.0,,0.28,8.2,1.9,0.0,19.0,0.13,,20.0,0.2,24.0,250,400.0,41.0,0.6,,,
Truffle,vegetable,Other,,100.0,100g,,77,3.3,0.3,16.0,1.5,8.7,79.5,0,0.05,0.01,2.0,,0.18,44.0,0.0,1.0,0.0,0.12,,4.0,0.4,9.0,80,320.0,5.0,0.4,,,
Grape (White),fruit,Grape,,100.0,100g,,78,0.3,0.5,18.1,0.8,17.3,80.6,5,0.02,0.02,0.3,,0.09,2.0,0.0,1.0,0.0,0.4,,10.0,1.2,8.0,14,220.0,2.0,0.1,,,0.3
Table Grape,fruit,Grape,,100.0,100g,,73,0.6,0.5,16.7,1.0,15.3,82.6,5,0.0,0.03,0.25,,0.09,2.0,0.0,1.0,0.0,0.4,,10.0,0.8,8.0,13,220.0,2.0,0.0,,,0.3
Beef Roast,beef,Other Cut,,100.0,100g,,174,19.4,10.7,0.0,0.0,0.0,68.2,0,0.08,0.15,3.5,,0.43,22.0,2.0,0.0,0.4,0.04,,14.0,1.8,22.0,220,340.0,67.0,3.5,,,
Beef Stew Meat (Lean),beef,Other Cut,,100.0,100g,,175,21.7,9.8,0.0,0.0,0.0,67.4,0,0.07,0.18,4.2,,0.42,6.0,2.0,0.0,0.7,0.09,,12.0,1.3,20.0,250,340.0,66.0,5.3,,,
Beef Stew Meat (Semi-lean),beef,Other Cut,,100.0,100g,,227,21.3,15.8,0.0,0.0,0.0,61.5,0,0.1,0.17,4.0,,0.48,15.0,2.0,0.0,0.5,0.11,,13.0,0.7,19.0,250,300.0,53.0,3.2,,,
Beef Steak (Average),beef,Steak,,100.0,100g,,122,20.9,4.3,0.0,0.0,0.0,72.9,0,0.1,0.16,4.6,,0.51,16.0,2.0,0.0,0.5,0.04,,9.0,1.4,23.0,170,370.0,60.0,3.6,,,
Beef Neck,beef,Other Cut,,100.0,100g,,137,21.3,5.6,0.3,0.0,0.0,70.2,0,0.21,0.18,3.5,,0.51,16.0,2.0,0.0,0.5,0.04,,9.0,0.6,23.0,190,300.0,98.0,3.6,,,
Beef Heart,beef,Other Cut,,100.0,100g,,92,17.0,2.7,0.0,0.0,0.0,78.8,6,0.4,0.4,5.0,,0.23,4.0,13.0,6.0,0.3,0.45,,13.0,5.0,20.0,280,290.0,100.0,1.6,,,
