name,type,category,fdc_id,serving_size_g,serving_label,cost_index,calories_kcal,protein_g,fat_g,carbs_g,fiber_g,sugars_g,water_g,vitamin_a_mcg,vitamin_b1_mg,vitamin_b2_mg,vitamin_b3_mg,vitamin_b5_mg,vitamin_b6_mg,vitamin_b9_mcg,vitamin_b12_mcg,vitamin_c_mg,vitamin_d_mcg,vitamin_e_mg,vitamin_k_mcg,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,manganese_mg,selenium_mcg
Ground Beef,beef,Ground,,100.0,100g,,142,20.2,6.8,0.0,0.0,0.0,72.1,0,0.09,0.15,3.4,,0.45,14.0,2.0,0.0,0.4,0.1,,10.0,1.6,22.0,180,360.0,64.0,3.5,,,
Beef Tongue,beef,Other Cut,,100.0,100g,,199,15.9,15.0,0.0,0.0,0.0,67.9,0,0.1,0.36,5.8,,0.15,6.0,5.0,3.0,0.3,0.28,,8.0,3.8,19.0,160,300.0,96.0,3.3,,,
Beef Tenderloin (Lean),beef,Steak,,100.0,100g,,114,21.0,3.3,0.0,0.0,0.0,74.2,0,0.1,0.16,3.4,,0.47,16.0,2.0,0.0,0.5,0.05,,10.0,1.5,23.0,150,370.0,60.0,3.6,,,
Beef Kidney,beef,Other Cut,,100.0,100g,,92,18.0,2.2,0.0,0.0,0.0,77.7,105,0.48,0.84,7.0,,0.24,4.0,14.0,12.0,0.3,0.55,,19.0,3.3,18.0,240,220.0,260.0,1.9,,,
Venison,beef,Other Cut,,100.0,100g,,112,20.6,3.3,0.0,0.0,0.0,74.9,0,0.25,0.25,3.4,,0.3,5.0,1.0,0.0,0.5,0.13,,10.0,2.3,21.0,200,310.0,62.0,3.2,,,
Veal Cutlet,beef,Steak,,100.0,100g,,149,19.9,7.6,0.2,0.0,0.0,71.2,0,0.22,0.21,3.6,,0.34,5.7,1.2,0.0,0.0,0.17,,14.0,0.9,19.0,200,370.0,25.0,3.0,,,
Veal Shank,beef,Other Cut,,100.0,100g,,195,20.3,12.6,0.2,0.0,0.0,65.8,0,0.2,0.21,3.6,,0.34,5.7,1.2,0.0,0.0,0.17,,10.0,0.7,19.0,150,370.0,25.0,3.0,,,
Veal Heart,beef,Other Cut,,100.0,100g,,100,16.8,3.6,0.0,0.0,0.0,78.6,6,0.5,0.49,6.5,,0.23,4.0,13.0,5.0,0.9,0.45,,15.0,5.5,18.0,300,350.0,120.0,1.5,,,
Veal Chop,beef,Other Cut,,100.0,100g,,121,20.0,4.5,0.0,0.0,0.0,73.6,0,0.25,0.21,6.6,,0.31,5.3,1.0,0.0,0.0,0.3,,13.0,0.9,20.0,230,390.0,26.0,3.1,,,
Veal Liver,beef,Other Cut,,100.0,100g,,119,20.3,3.5,1.5,0.0,0.0,72.7,11900,0.26,1.6,11.0,,0.52,160.0,64.0,30.0,0.3,0.42,,12.0,6.5,23.0,320,410.0,120.0,5.0,,,
Veal Loin,beef,Steak,,100.0,100g,,148,19.9,7.6,0.0,0.0,0.0,71.2,0,0.22,0.21,6.6,,0.34,5.7,1.2,0.0,0.0,0.17,,14.0,0.9,18.0,200,350.0,24.0,3.0,,,
Veal Shoulder,beef,Other Cut,,100.0,100g,,138,23.3,4.9,0.3,0.0,0.0,70.2,0,0.24,0.27,5.3,,0.31,5.3,1.0,0.0,0.0,0.3,,6.0,0.5,19.0,180,370.0,25.0,3.0,,,
Veal Breast,beef,Other Cut,,100.0,100g,,147,19.6,7.6,0.0,0.0,0.0,71.0,0,0.32,0.24,6.5,,0.35,5.8,1.2,0.0,0.0,0.17,,11.0,1.1,21.0,230,410.0,28.0,3.3,,,
Wasabi Root,spice,Root/Bark,,100.0,100g,,100,4.8,0.6,21.9,6.1,15.8,69.1,2,0.1,0.13,0.67,,0.3,34.0,0.0,58.5,0.0,1.4,,110.0,0.9,58.0,80,530.0,21.0,1.2,,,9.0
