name,category,fdc_id,calories_kcal,protein_g,fat_g,carbs_g,fiber_g,sugars_g,water_g,vitamin_a_mcg,vitamin_b1_mg,vitamin_b2_mg,vitamin_b3_mg,vitamin_b5_mg,vitamin_b6_mg,vitamin_b9_mcg,vitamin_b12_mcg,vitamin_c_mg,vitamin_d_mcg,vitamin_e_mg,vitamin_k_mcg,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,manganese_mg,selenium_mcg
Durian,Tropical,2685576,,1.6875,0.3025,8.787,3.119,,88.16,,,,,,,103.0,,4.6,,,,13.82,0.4281,21.01,33.65,341.5,111.6,0.3104,0.1606,0.2571,
Rambutan,Tropical,2685576,,1.6875,0.3025,8.787,3.119,,88.16,,,,,,,103.0,,4.6,,,,13.82,0.4281,21.01,33.65,341.5,111.6,0.3104,0.1606,0.2571,
Mangosteen,Tropical,2685576,,1.6875,0.3025,8.787,3.119,,88.16,,,,,,,103.0,,4.6,,,,13.82,0.4281,21.01,33.65,341.5,111.6,0.3104,0.1606,0.2571,
Soursop,Tropical,2685576,,1.6875,0.3025,8.787,3.119,,88.16,,,,,,,103.0,,4.6,,,,13.82,0.4281,21.01,33.65,341.5,111.6,0.3104,0.1606,0.2571,
Tamarind,Tropical,2685576,,1.6875,0.3025,8.787,3.119,,88.16,,,,,,,103.0,,4.6,,,,13.82,0.4281,21.01,33.65,341.5,111.6,0.3104,0.1606,0.2571,
Plantain,Tropical,2710843,,1.166875,0.99,29.191425,1.792,,67.71,,,0.1017,,,0.1958,,,19.08,,,,3.9,0.3148,31.73,28.92,408.2,0.0,0.1492,0.1028,0.2111,
Breadfruit,Tropical,2685576,,1.6875,0.3025,8.787,3.119,,88.16,,,,,,,103.0,,4.6,,,,13.82,0.4281,21.01,33.65,341.5,111.6,0.3104,0.1606,0.2571,
Cherimoya,Tropical,2685576,,1.6875,0.3025,8.787,3.119,,88.16,,,,,,,103.0,,4.6,,,,13.82,0.4281,21.01,33.65,341.5,111.6,0.3104,0.1606,0.2571,
Sapodilla,Tropical,2685576,,1.6875,0.3025,8.787,3.119,,88.16,,,,,,,103.0,,4.6,,,,13.82,0.4281,21.01,33.65,341.5,111.6,0.3104,0.1606,0.2571,
Watermelon,Melon,2747675,,0.87125,,,,,90.91,,,,,,,11.93,,6.458,,,,7.861,0.02131,11.45,17.08,117.3,0.0,0.1023,0.04581,0.06791,
Cantaloupe,Melon,746770,34.0,0.82,0.18,8.16,0.8,,90.2,232.0,0.049,0.027,0.694,0.085,0.04,14.0,,10.9,,,,9.0,0.38,13.0,17.0,157.0,30.0,0.44,0.085,0.046,1.7
Honeydew,Melon,2710816,,0.53125,0.2163,8.14995,,,90.59,,,,,,,,,15.73,,,,6.579,0.0,9.504,11.74,208.9,21.15,0.05999,0.009075,0.03545,
Casaba,Melon,746770,34.0,0.82,0.18,8.16,0.8,,90.2,232.0,0.049,0.027,0.694,0.085,0.04,14.0,,10.9,,,,9.0,0.38,13.0,17.0,157.0,30.0,0.44,0.085,0.046,1.7
Grape (Green),Grape,2346413,,0.89875,0.2325,18.60375,,,79.88,,,,,,,,,3.017,,,,9.897,0.1991,7.118,21.98,218.1,3.171,0.02674,0.06091,0.08365,
Grape (Red),Grape,2346412,,0.914375,0.1638,20.196825,,,78.19,,,,,,,,,3.308,,,,10.17,0.1615,8.556,24.86,229.4,6.999,0.03603,0.08081,0.09758,
Grape (Concord),Grape,2346413,,0.89875,0.2325,18.60375,,,79.88,,,,,,,,,3.017,,,,9.897,0.1991,7.118,21.98,218.1,3.171,0.02674,0.06091,0.08365,
Grape (Muscadine),Grape,2346413,,0.89875,0.2325,18.60375,,,79.88,,,,,,,,,3.017,,,,9.897,0.1991,7.118,21.98,218.1,3.171,0.02674,0.06091,0.08365,
Fig,Other,2685576,,1.6875,0.3025,8.787,3.119,,88.16,,,,,,,103.0,,4.6,,,,13.82,0.4281,21.01,33.65,341.5,111.6,0.3104,0.1606,0.2571,
Date (Medjool),Other,168191,277.0,1.81,0.15,74.97,6.7,66.47,21.32,7.0,0.05,0.06,1.61,0.805,0.249,15.0,,0.0,0.0,,,64.0,0.9,54.0,62.0,696.0,1.0,0.44,0.362,0.296,
Date (Deglet Noor),Other,171726,282.0,2.45,0.39,75.03,8.0,63.35,20.53,0.0,0.052,0.066,1.274,0.589,0.165,19.0,0.0,0.4,0.0,0.05,,39.0,1.02,43.0,62.0,656.0,2.0,0.29,0.206,0.262,3.0
Persimmon (Fuyu),Other,2685576,,1.6875,0.3025,8.787,3.119,,88.16,,,,,,,103.0,,4.6,,,,13.82,0.4281,21.01,33.65,341.5,111.6,0.3104,0.1606,0.2571,
Persimmon (Japanese),Other,2685576,,1.6875,0.3025,8.787,3.119,,88.16,,,,,,,103.0,,4.6,,,,13.82,0.4281,21.01,33.65,341.5,111.6,0.3104,0.1606,0.2571,
Pomegranate,Other,2685576,,1.6875,0.3025,8.787,3.119,,88.16,,,,,,,103.0,,4.6,,,,13.82,0.4281,21.01,33.65,341.5,111.6,0.3104,0.1606,0.2571,
Avocado,Other,2710824,,1.8125,20.31,8.3235,,,67.0,,,,,,0.1674,128.7,,0.0,,,,14.46,0.6133,32.8,42.38,576.4,0.0,0.4596,0.2849,0.1966,
Olive,Other,1105314,97.0,0.74,0.29,23.0,1.7,,75.3,1.0,0.056,0.0,0.662,,0.209,14.0,,12.3,,,0.0,5.0,0.0,28.0,22.0,326.0,0.0,0.16,0.101,0.258,0.0
Quince,Other,2685576,,1.6875,0.3025,8.787,3.119,,88.16,,,,,,,103.0,,4.6,,,,13.82,0.4281,21.01,33.65,341.5,111.6,0.3104,0.1606,0.2571,
Prickly Pear,Other,746773,57.0,0.38,0.16,15.1,3.1,,84.1,1.0,0.012,0.026,0.164,0.042,0.026,6.0,,4.4,,,,8.0,0.17,5.7,10.0,87.0,7.0,0.07,0.07,0.032,0.2
Feijoa,Other,2685576,,1.6875,0.3025,8.787,3.119,,88.16,,,,,,,103.0,,4.6,,,,13.82,0.4281,21.01,33.65,341.5,111.6,0.3104,0.1606,0.2571,
Jujube,Other,2685576,,1.6875,0.3025,8.787,3.119,,88.16,,,,,,,103.0,,4.6,,,,13.82,0.4281,21.01,33.65,341.5,111.6,0.3104,0.1606,0.2571,
